# squared distance, heading (radians)
25.607737,-0.530050
25.563682,-0.513104
25.554132,-0.495755
25.646815,-0.479158
25.632618,-0.461006
25.462363,-0.443774
25.566992,-0.428531
25.621720,-0.413111
25.665315,-0.396233
25.535445,-0.383653
25.584077,-0.367522
25.487132,-0.350147
25.598569,-0.335111
25.412246,-0.315706
25.587101,-0.296103
25.430475,-0.278305
25.476202,-0.260948
25.638988,-0.244775
25.753937,-0.227823
25.717835,-0.213747
26.016688,-0.194248
26.128591,-0.175559
26.139744,-0.158823
26.159423,-0.142161
26.220432,-0.121858
26.377968,-0.104858
26.502036,-0.087575
26.360469,-0.071210
26.047864,-0.052153
25.772782,-0.035170
25.775691,-0.016316
25.462823,0.002381
25.483860,0.015099
25.423434,0.034779
25.603434,0.051940
25.493330,0.067702
25.214470,0.086279
25.111521,0.102001
25.129021,0.119019
25.149175,0.132909
25.151881,0.153475
25.172124,0.167473
25.034914,0.184671
24.802994,0.203812
24.736346,0.221022
24.795328,0.239717
24.617399,0.257245
24.402934,0.274331
24.480889,0.289974
24.335654,0.307135
24.415154,0.325573
24.294125,0.340684
24.249140,0.361168
24.101929,0.373149
23.903909,0.390250
23.995603,0.410432
24.024193,0.426905
23.984506,0.443877
23.792274,0.462222
23.776299,0.482718
23.781146,0.500999
23.597990,0.516088
23.715507,0.535924
23.718243,0.554549
23.909728,0.573970
23.664820,0.590331
23.781300,0.607864
23.700355,0.629147
23.575996,0.644498
23.699936,0.661009
23.846154,0.679870
23.847716,0.698286
23.614383,0.714334
23.615587,0.730815
23.527614,0.749669
23.320779,0.766579
22.962459,0.783498
22.742989,0.798860
22.593926,0.814603
22.645059,0.831490
22.881706,0.847776
22.828749,0.868440
23.036510,0.886596
22.975939,0.904888
22.913402,0.920422
22.796150,0.942035
22.689140,0.957367
22.783949,0.973108
22.923541,0.990600
22.836246,1.006922
22.629401,1.023115
22.516574,1.041797
22.529290,1.057370
22.456694,1.073278
22.064477,1.090369
21.843508,1.106886
21.875476,1.124027
21.723004,1.139830
21.592915,1.155198
21.600471,1.172928
21.701912,1.190375
21.757431,1.210573
21.800306,1.227294
21.485725,1.244884
21.443029,1.261017
21.273402,1.277863
21.259263,1.295920
21.086455,1.309790
20.815374,1.324810
20.705196,1.341269
20.563916,1.357518
20.440079,1.375989
20.429763,1.393239
20.233047,1.410258
20.178723,1.427290
20.130016,1.448176
20.172228,1.464238
19.970879,1.483667
19.799246,1.498389
19.613957,1.516303
19.702818,1.517883
18.863391,1.520108
18.146922,1.521840
17.448131,1.520806
16.686923,1.522855
15.949535,1.519485
15.305117,1.520351
14.768205,1.519137
14.167512,1.521472
13.279935,1.523886
12.816414,1.523914
12.216815,1.521780
11.801685,1.520532
11.218594,1.519962
10.849228,1.518652
10.357665,1.515241
9.847141,1.512612
9.377560,1.510497
9.003332,1.511614
8.548996,1.512000
8.052536,1.510322
7.642551,1.510296
7.236712,1.508387
6.850143,1.511867
6.512753,1.514031
6.128287,1.512978
5.815426,1.511431
5.488356,1.513352
5.230243,1.514201
4.947125,1.514704
4.736587,1.515602
4.574979,1.514997
4.331094,1.515311
4.196959,1.515276
4.066228,1.516843
4.050889,1.517548
4.007036,1.517685
4.044763,1.520040
3.978013,1.520142
3.907568,1.520561
3.921666,1.520984
3.899838,1.520445
3.857997,1.518994
3.863970,1.519219
4.059162,1.517625
4.198714,1.515597
4.331536,1.515570
4.458411,1.513643
4.655746,1.512603
4.694613,1.512940
4.835512,1.512207
4.973010,1.511756
5.218543,1.513263
5.520773,1.517569
5.727897,1.515935
6.053702,1.516067
6.318105,1.512748
6.580615,1.513617
6.959160,1.513067
7.371280,1.513257
7.780672,1.517713
8.179098,1.519321
8.468839,1.517894
8.827196,1.517903
9.307343,1.518805
9.941894,1.519891
10.546496,1.519594
11.094628,1.520732
11.720829,1.522261
12.300869,1.518878
12.809185,1.519151
13.504501,1.517308
14.045406,1.516231
14.542103,1.514882
15.341227,1.513775
15.916035,1.510181
16.392961,1.508472
17.109391,1.508886
17.880349,1.511219
18.630967,1.515596
19.714364,1.515112
19.615680,1.497990
19.627619,1.480549
19.754821,1.463727
20.018210,1.448511
20.197426,1.429860
20.139766,1.411774
20.311600,1.392823
20.279604,1.373856
20.173302,1.354906
20.240063,1.338926
20.150215,1.318635
20.496260,1.301628
20.535803,1.283773
20.915789,1.266881
20.993717,1.248829
21.150145,1.231467
21.079117,1.212583
21.129963,1.196401
21.254153,1.177626
21.090990,1.162711
21.228196,1.143154
21.493871,1.123678
21.585597,1.106187
21.783065,1.090803
21.912913,1.072627
22.018934,1.057101
21.773371,1.036186
21.805022,1.017128
21.804350,0.999525
21.871788,0.983739
22.156745,0.967215
22.100292,0.950153
22.335710,0.932460
22.485007,0.913032
22.553738,0.894496
22.367679,0.876191
22.629276,0.859489
22.870170,0.842784
22.934905,0.826537
23.178258,0.812061
23.192927,0.793593
23.380929,0.777895
23.628859,0.757791
23.704059,0.738055
23.702075,0.719151
23.473750,0.703345
23.489318,0.685016
23.488695,0.666788
23.430299,0.649929
23.400475,0.632720
23.608924,0.614013
23.500787,0.596444
23.543499,0.582052
23.287405,0.566003
23.396639,0.545990
23.402501,0.528356
23.447105,0.513451
23.690323,0.496110
23.490366,0.479877
23.569202,0.460716
23.696799,0.446172
23.659924,0.430760
23.530208,0.414515
23.465067,0.396343
23.341563,0.382424
23.269331,0.364441
23.267143,0.348226
23.377676,0.330243
23.643718,0.315017
23.369922,0.296249
23.394298,0.277314
23.193775,0.259811
23.247491,0.239882
23.086850,0.219668
23.472564,0.203880
23.470657,0.184176
23.435012,0.163986
23.152747,0.144337
23.187048,0.125553
23.187436,0.108189
23.137036,0.088110
23.231656,0.067495
23.198994,0.049901
23.327668,0.031098
23.315532,0.012896
23.154781,-0.002016
23.001614,-0.018308
22.972562,-0.038909
22.892904,-0.053433
22.955795,-0.071590
22.995674,-0.087795
22.732535,-0.107434
22.776531,-0.126357
22.687707,-0.149042
22.716372,-0.166932
22.694631,-0.182724
22.589444,-0.203203
22.479763,-0.218290
22.327596,-0.235612
22.294405,-0.253574
21.939973,-0.269724
21.837492,-0.284431
21.693217,-0.304613
21.655836,-0.318691
21.630426,-0.335329
21.400999,-0.349120
21.001615,-0.366392
20.933637,-0.385109
20.844877,-0.408130
20.883396,-0.427776
20.746992,-0.444161
20.673144,-0.461003
20.364433,-0.479017
20.395694,-0.493528
20.260914,-0.510361
20.430562,-0.530746
20.529713,-0.549169
20.364294,-0.565213
20.230247,-0.581756
20.167308,-0.603155
20.199736,-0.621662
20.379341,-0.638751
20.309406,-0.658102
20.386810,-0.677002
20.550560,-0.694710
20.362359,-0.712050
20.460981,-0.728521
20.368595,-0.745290
20.264669,-0.761256
20.136833,-0.781359
19.926580,-0.798424
19.733587,-0.817530
19.812391,-0.834365
19.752620,-0.851234
19.607181,-0.867584
19.559202,-0.883778
19.360058,-0.903761
19.344483,-0.921677
19.312356,-0.941898
19.261292,-0.960250
19.202955,-0.978063
19.006552,-0.996054
18.893347,-1.013783
18.652101,-1.027728
18.604242,-1.042983
18.479119,-1.060332
18.490393,-1.079239
18.415116,-1.098818
18.281571,-1.115960
17.989514,-1.135602
18.145497,-1.149749
17.878085,-1.169457
17.701945,-1.187784
17.719071,-1.204283
17.393046,-1.221626
17.244784,-1.239680
17.261770,-1.257431
17.298703,-1.273815
17.180606,-1.288429
17.227183,-1.306217
17.137663,-1.326593
17.051536,-1.345486
17.031860,-1.362979
17.018562,-1.380912
17.071000,-1.397571
16.976404,-1.418636
16.758851,-1.439945
16.678291,-1.457555
16.624785,-1.476109
16.537225,-1.492103
16.510737,-1.510970
16.431873,-1.529657
16.336924,-1.546959
16.327453,-1.564612
16.398898,-1.581500
16.440208,-1.598698
16.187473,-1.617150
16.019664,-1.634236
15.952890,-1.651936
15.956872,-1.667725
15.871392,-1.667272
15.153710,-1.667748
14.478455,-1.667503
13.706931,-1.671754
13.136964,-1.668830
12.346605,-1.668461
11.596601,-1.667304
10.957629,-1.668009
10.336714,-1.671322
9.752660,-1.670701
9.250388,-1.668248
8.647893,-1.668936
7.997430,-1.668034
7.425677,-1.668898
6.891752,-1.668804
6.448099,-1.667792
6.060743,-1.667762
5.755640,-1.670354
5.396653,-1.668508
5.018790,-1.668284
4.730826,-1.666899
4.359606,-1.665880
3.978853,-1.664127
3.663302,-1.665092
3.333718,-1.664550
3.109606,-1.667148
2.835470,-1.668292
2.587867,-1.670759
2.345850,-1.675134
2.156320,-1.676004
1.981657,-1.676018
1.879266,-1.679792
1.742583,-1.677671
1.615210,-1.677893
1.578215,-1.678061
1.516495,-1.677159
1.438639,-1.675173
1.471259,-1.673486
1.456076,-1.671834
1.472292,-1.672384
1.523021,-1.670482
1.643928,-1.671806
1.755775,-1.671693
1.874691,-1.669907
1.972636,-1.670951
2.143263,-1.669373
2.292714,-1.670071
2.493545,-1.670101
2.735210,-1.672798
3.019134,-1.675057
3.231956,-1.676999
3.526475,-1.676497
3.810369,-1.676631
4.215955,-1.675065
4.458868,-1.674175
4.820605,-1.674536
5.230055,-1.677285
5.610362,-1.681116
5.955788,-1.680326
6.481324,-1.679296
6.961751,-1.682551
7.429126,-1.682653
7.917822,-1.684147
8.277306,-1.682967
8.911636,-1.682290
9.579408,-1.679347
10.140168,-1.680773
10.827650,-1.681861
11.470414,-1.683651
12.112465,-1.682500
12.714513,-1.681892
13.557233,-1.683488
14.153035,-1.681344
14.935659,-1.681696
15.746924,-1.680795
16.441244,-1.681180
16.909289,-1.680364
17.638748,-1.678987
18.391959,-1.680784
19.223614,-1.679277
19.951258,-1.679124
20.194481,-1.659422
20.101174,-1.641514
20.150781,-1.620444
20.108987,-1.602923
20.258704,-1.582895
20.179284,-1.563442
20.119930,-1.545862
20.175733,-1.529797
19.947487,-1.512286
20.155708,-1.494341
20.383551,-1.474514
20.268756,-1.458202
20.334047,-1.442894
20.282441,-1.425741
20.471213,-1.408965
20.498128,-1.391105
20.717231,-1.374742
20.651555,-1.358334
20.689885,-1.339967
20.718414,-1.321693
20.742102,-1.302481
20.987710,-1.284543
20.962725,-1.268258
21.030010,-1.250207
21.141451,-1.232897
21.274727,-1.213864
21.048386,-1.197050
21.009850,-1.178532
21.183773,-1.157135
21.239028,-1.138723
21.335822,-1.121311
21.613608,-1.103967
21.683407,-1.086238
21.547554,-1.064848
21.695220,-1.049342
21.715213,-1.030475
21.650190,-1.011326
21.900096,-0.993207
22.003223,-0.973211
22.195634,-0.954425
22.310498,-0.938707
22.067832,-0.922270
22.081580,-0.904472
21.941452,-0.884848
21.815516,-0.865969
22.048229,-0.849060
22.072937,-0.831669
22.092171,-0.811937
21.942710,-0.799085
22.015674,-0.785946
22.097041,-0.773370
21.909948,-0.755972
21.929086,-0.737602
21.966961,-0.720631
21.746742,-0.703261
21.909548,-0.681003
21.871743,-0.664691
21.856830,-0.648060
21.769106,-0.633299
21.797704,-0.615046
21.692199,-0.597058
21.742768,-0.579082
21.706918,-0.558901
21.782730,-0.541900
21.633886,-0.522520
21.790146,-0.503990
21.794659,-0.487967
21.708082,-0.472485
21.597085,-0.455334
21.902451,-0.439773
21.904501,-0.421609
21.803783,-0.402524
22.034933,-0.382530
22.123436,-0.364551
22.100231,-0.350894
22.216413,-0.332261
22.142385,-0.314948
22.039021,-0.297768
22.123507,-0.284477
22.109924,-0.269024
21.998154,-0.252926
21.912552,-0.236783
21.936222,-0.219932
21.784013,-0.198840
21.817431,-0.180842
21.590470,-0.165629
21.578826,-0.145167
21.449995,-0.128799
21.267691,-0.109880
21.235048,-0.095241
21.356426,-0.079104
21.579424,-0.060969
21.654850,-0.044835
21.645707,-0.027591
21.812692,-0.008135
21.698357,0.013085
21.795496,0.031816
21.804444,0.051302
21.691209,0.068873
21.605845,0.089296
21.719299,0.101410
21.436758,0.119525
21.507388,0.139664
21.467386,0.158890
21.027815,0.178304
20.902997,0.194868
20.897989,0.212768
20.946994,0.233127
20.845036,0.248339
20.738560,0.267252
20.763729,0.280041
20.582299,0.296516
20.582270,0.312891
20.501192,0.331900
20.526469,0.348273
20.293745,0.364210
20.242313,0.383109
20.342178,0.400630
20.414841,0.415479
20.442653,0.432822
20.384786,0.450740
20.517770,0.464809
20.543445,0.482851
20.440700,0.499815
20.415828,0.517427
20.335480,0.533336
20.073818,0.551103
20.067062,0.568228
20.128823,0.586021
20.264462,0.605816
20.244206,0.621792
20.136444,0.641715
20.166089,0.657304
20.327869,0.674337
20.256831,0.691482
20.135999,0.711014
20.213423,0.730144
20.134196,0.748344
19.980713,0.767782
19.916357,0.782289
20.047378,0.798785
19.965464,0.814231
19.775040,0.829218
19.746288,0.850704
19.823094,0.867483
19.516326,0.888479
19.463258,0.906478
19.310108,0.924726
19.242875,0.946070
19.257196,0.963237
19.107296,0.980878
19.248695,1.001748
19.050362,1.019528
19.127327,1.038917
18.878583,1.057866
18.790787,1.077477
18.879280,1.093751
18.698760,1.108879
18.489408,1.124227
18.292971,1.143162
18.098598,1.160389
18.070161,1.177078
